                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0208,                0.61793,                0.98478,                0.81187,                0.78644,                0.85027,                0.53493,                 1.1905,                0.67387,                 1.0459,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0116,                0.60918,                0.98134,                0.81692,                0.78217,                0.85023,                0.53617,                 1.1878,                0.67404,                 1.0457,               0.006337,               0.006337,               0.006337
                     77,                 1.0106,                0.60507,                0.98146,                0.81545,                 0.7834,                0.85104,                0.53662,                 1.1888,                0.67291,                 1.0459,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0037,                0.60326,                0.97784,                0.81439,                0.78703,                0.85016,                0.53411,                  1.192,                0.67762,                 1.0477,               0.006238,               0.006238,               0.006238
                     79,                 1.0015,                0.60001,                0.97769,                0.81298,                0.78895,                 0.8505,                0.53427,                 1.1925,                0.67453,                 1.0468,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0098,                0.60328,                0.98118,                0.81261,                0.79185,                 0.8521,                0.53576,                 1.1924,                0.67616,                 1.0474,               0.006139,               0.006139,               0.006139
                     81,                 0.9912,                0.59542,                 0.9748,                0.80864,                0.79032,                0.85104,                0.53625,                 1.1883,                 0.6744,                 1.0469,              0.0060895,              0.0060895,              0.0060895
                     82,                0.99731,                0.59475,                0.97642,                0.81428,                0.78576,                0.85065,                0.53564,                 1.1854,                0.67312,                 1.0464,                0.00604,                0.00604,                0.00604
                     83,                0.99466,                0.59394,                0.97364,                0.80597,                0.79219,                0.85022,                0.53584,                 1.1874,                0.67139,                 1.0448,              0.0059905,              0.0059905,              0.0059905
                     84,                0.99051,                0.59185,                0.97546,                0.80607,                0.79579,                0.85014,                0.53597,                 1.1855,                0.67061,                 1.0456,               0.005941,               0.005941,               0.005941
                     85,                0.98521,                0.59318,                0.97516,                0.80802,                0.79155,                0.84836,                0.53535,                  1.187,                0.67131,                 1.0486,              0.0058915,              0.0058915,              0.0058915
                     86,                0.99307,                0.59374,                 0.9749,                0.81218,                 0.7888,                0.85177,                0.53787,                 1.1844,                0.67165,                 1.0459,               0.005842,               0.005842,               0.005842
                     87,                0.97893,                0.58777,                0.97121,                0.81181,                0.78644,                 0.8503,                0.53778,                 1.1849,                0.67309,                 1.0461,              0.0057925,              0.0057925,              0.0057925
                     88,                0.97919,                0.58273,                 0.9691,                0.81012,                0.78791,                0.85183,                0.53727,                 1.1871,                0.67089,                 1.0469,               0.005743,               0.005743,               0.005743
                     89,                0.97272,                0.58318,                0.97098,                0.80211,                0.79366,                 0.8521,                0.53774,                 1.1883,                0.67301,                 1.0487,              0.0056935,              0.0056935,              0.0056935
                     90,                0.97118,                 0.5769,                 0.9679,                0.80086,                 0.7966,                 0.8515,                0.53671,                 1.1888,                0.67657,                 1.0497,               0.005644,               0.005644,               0.005644
                     91,                0.96706,                 0.5787,                0.96831,                0.80699,                0.78836,                0.85079,                0.53652,                 1.1909,                0.67478,                 1.0496,              0.0055945,              0.0055945,              0.0055945
                     92,                0.96861,                0.57664,                0.96409,                   0.81,                0.79041,                0.85193,                 0.5367,                 1.1912,                0.67293,                 1.0486,               0.005545,               0.005545,               0.005545
                     93,                 0.9674,                0.57799,                0.96598,                0.81098,                0.79043,                0.85218,                0.53686,                 1.1895,                0.67124,                 1.0483,              0.0054955,              0.0054955,              0.0054955
                     94,                0.95995,                0.57409,                 0.9641,                0.81038,                0.79469,                0.85166,                0.53842,                 1.1884,                0.67222,                 1.0478,               0.005446,               0.005446,               0.005446
                     95,                0.96039,                0.57335,                0.96362,                0.81355,                0.78482,                0.85095,                 0.5385,                 1.1863,                0.67245,                  1.046,              0.0053965,              0.0053965,              0.0053965
                     96,                 0.9554,                0.56778,                0.96319,                0.81156,                0.78964,                0.85249,                0.53959,                 1.1862,                0.67186,                 1.0454,               0.005347,               0.005347,               0.005347
                     97,                0.95192,                0.56781,                0.96062,                0.80624,                0.79661,                0.85156,                0.53868,                 1.1867,                0.67182,                 1.0472,              0.0052975,              0.0052975,              0.0052975
                     98,                0.94389,                0.56182,                0.96009,                0.80768,                0.79352,                0.85057,                0.53828,                  1.185,                0.66995,                 1.0464,               0.005248,               0.005248,               0.005248
                     99,                 0.9497,                0.56487,                0.95895,                0.80488,                0.79764,                0.85112,                0.53853,                 1.1846,                0.67039,                 1.0448,              0.0051985,              0.0051985,              0.0051985
                    100,                0.94301,                0.56066,                0.95824,                0.80408,                0.79602,                0.85174,                 0.5398,                 1.1831,                0.67033,                 1.0445,               0.005149,               0.005149,               0.005149
                    101,                0.94115,                0.56031,                0.95756,                 0.8059,                0.79612,                0.85241,                0.54055,                 1.1813,                0.67006,                 1.0436,              0.0050995,              0.0050995,              0.0050995
                    102,                0.94251,                0.55956,                 0.9569,                0.81572,                0.78876,                0.85303,                0.54133,                 1.1812,                0.66826,                 1.0439,                0.00505,                0.00505,                0.00505
                    103,                0.93673,                0.55594,                0.95515,                0.81238,                0.79219,                0.85239,                0.54006,                 1.1812,                0.66794,                 1.0437,              0.0050005,              0.0050005,              0.0050005
                    104,                0.93802,                0.55703,                0.95682,                0.81243,                0.79286,                0.85217,                0.54103,                 1.1799,                0.66623,                 1.0429,               0.004951,               0.004951,               0.004951
                    105,                0.92897,                0.55109,                  0.954,                0.81741,                0.78939,                0.85244,                0.54138,                 1.1798,                0.66576,                 1.0427,              0.0049015,              0.0049015,              0.0049015
                    106,                0.92612,                0.54789,                 0.9502,                0.81292,                0.79396,                0.85326,                0.54118,                 1.1801,                  0.667,                 1.0428,               0.004852,               0.004852,               0.004852
                    107,                0.92601,                0.54918,                0.95142,                0.81081,                0.79587,                 0.8529,                0.54146,                 1.1796,                0.66757,                  1.043,              0.0048025,              0.0048025,              0.0048025
                    108,                0.91572,                0.54715,                0.94906,                0.81436,                0.79057,                0.85192,                0.54105,                 1.1792,                0.66729,                 1.0435,               0.004753,               0.004753,               0.004753
                    109,                0.91653,                0.54591,                0.94953,                0.81567,                0.78806,                0.85126,                0.54093,                 1.1799,                0.66765,                 1.0444,              0.0047035,              0.0047035,              0.0047035
                    110,                0.91669,                0.54155,                0.94845,                0.81421,                0.78802,                  0.851,                0.54034,                 1.1798,                0.66828,                 1.0445,               0.004654,               0.004654,               0.004654
                    111,                0.91295,                0.54404,                0.94718,                0.81119,                 0.7915,                0.85132,                0.54082,                 1.1798,                0.66912,                 1.0448,              0.0046045,              0.0046045,              0.0046045
                    112,                0.91082,                0.54004,                0.94628,                0.81212,                0.79254,                0.85165,                0.54089,                 1.1798,                0.66926,                  1.045,               0.004555,               0.004555,               0.004555
                    113,                0.90973,                0.53913,                0.94551,                0.81282,                0.79363,                0.85235,                 0.5407,                 1.1795,                0.66787,                 1.0454,              0.0045055,              0.0045055,              0.0045055
